1,,268736.794,3743135.663,2586.971
2,,268735.064,3743143.524,2587.093
3,,268735.220,3743148.718,2587.115
4,,268739.487,3743149.518,2587.020
5,,268750.461,3743090.115,2586.142
6,,268743.716,3743116.682,2586.463
7,,268740.555,3743139.003,2586.962
8,,268741.181,3743141.959,2587.013
9,,268738.171,3743142.184,2587.072
10,,268734.756,3743142.059,2587.124
11,,268735.931,3743136.385,2587.064
12,,268739.382,3743135.876,2586.906
13,,268742.722,3743136.790,2586.859
14,,268737.635,3743123.074,2586.817
15,,268741.325,3743121.343,2586.698
16,,268744.443,3743123.256,2586.843
17,,268738.889,3743114.017,2586.813
18,,268741.179,3743112.744,2586.801
19,,268744.864,3743113.557,2586.527
20,,268744.733,3743077.448,2586.442
21,,268750.098,3743065.962,2586.210
22,,268751.025,3743078.879,2586.412
23,,268754.266,3743066.238,2586.761
24,,268750.257,3743089.952,2586.378
25,,268745.777,3743101.618,2586.432
26,,268750.379,3743096.417,2586.181
27,,268736.801,3743074.551,2587.184
28,,268741.275,3743065.498,2587.120
29,,268759.843,3743072.872,2586.710
30,,268755.322,3743073.824,2586.232
31,,268749.928,3743080.467,2586.511
32,,268744.195,3743077.532,2586.704
33,,268736.417,3743075.122,2586.547
34,,268736.918,3743095.603,2587.127
35,,268742.145,3743098.724,2587.090
36,,268745.992,3743100.710,2587.063
37,,268749.563,3743096.444,2586.157
38,,268746.611,3743111.245,2586.397
39,,268741.616,3743110.571,2587.159
40,,268737.664,3743110.282,2587.120
41,,268735.869,3743117.716,2586.698
42,,268740.073,3743117.392,2586.656
43,,268744.276,3743116.611,2586.422
44,,268742.501,3743127.395,2586.870
45,,268737.988,3743129.550,2586.938
46,,268734.803,3743132.223,2586.934
47,,268734.778,3743137.717,2587.125
48,,268737.922,3743139.539,2587.060
49,,268741.667,3743140.777,2586.935
50,,268740.063,3743143.958,2587.034
51,,268738.444,3743144.663,2587.107
52,,268732.815,3743144.221,2587.253
53,,268734.647,3743149.521,2587.116
54,,268738.970,3743148.414,2587.333
55,,268740.154,3743149.035,2587.018
56,,268763.076,3743286.335,2592.051
57,,268770.255,3743303.276,2593.009
58,,268773.472,3743296.613,2597.005
59,,268775.301,3743290.392,2599.364
60,,268782.099,3743275.410,2610.149
61,,268781.931,3743280.105,2607.460
62,,268780.764,3743283.882,2603.874
63,,268775.084,3743278.539,2599.943
64,,268772.053,3743277.626,2594.906
65,,268769.692,3743279.060,2592.764
66,,268767.540,3743277.677,2590.000
67,,268766.901,3743280.693,2589.416
68,,268769.088,3743281.521,2593.085
69,,268770.520,3743282.063,2597.076
70,,268762.676,3743293.064,2592.739
71,,268767.831,3743290.478,2595.062
72,,268762.489,3743296.743,2591.590
73,,268761.482,3743292.548,2592.118
74,,268762.209,3743290.364,2591.718
75,,268762.902,3743286.589,2592.101
76,,268763.267,3743282.864,2592.757
77,,268768.290,3743281.656,2592.900
78,,268770.333,3743277.010,2593.195
79,,268770.959,3743279.559,2596.422
80,,268770.376,3743281.654,2596.383
81,,268767.703,3743282.740,2596.740
82,,268766.750,3743285.892,2596.598
83,,268767.063,3743291.048,2595.550
84,,268765.023,3743294.644,2594.585
85,,268775.020,3743281.267,2600.967
86,,268772.428,3743285.742,2600.957
87,,268770.769,3743286.221,2600.362
88,,268769.203,3743287.837,2599.288
89,,268768.507,3743291.140,2597.373
90,,268766.678,3743294.576,2595.912
